ingredient_name,common_aliases,category,concern_level,explanation,skin_types_to_avoid
Sodium Lauryl Sulfate,"SLS, Sodium Laurilsulfate, Sodium Dodecyl Sulfate",Sulfate,Avoid,Harsh surfactant that strips the skin's natural oils and disrupts the skin barrier. One of the most irritating cleansing agents used in cosmetics.,"sensitive, dry, acne-prone, eczema"
Sodium Laureth Sulfate,"SLES, Sodium Lauryl Ether Sulfate, Sodium Polyoxyethylene Lauryl Ether Sulfate",Sulfate,Caution,"Milder than SLS but still a strong surfactant. Can cause irritation with prolonged use, especially in sensitive individuals.","sensitive, dry, eczema"
Ammonium Lauryl Sulfate,"ALS, Ammonium Dodecyl Sulfate",Sulfate,Avoid,Similar to SLS in irritation potential. Strips natural oils and can cause dryness and redness.,"sensitive, dry, acne-prone"
Ammonium Laureth Sulfate,ALES,Sulfate,Caution,Slightly milder than ALS. Still a strong cleanser that can disrupt the skin barrier over time.,"sensitive, dry"
Sodium Coco Sulfate,"SCS, Coconut Sulfate",Sulfate,Caution,Derived from coconut oil but still a harsh sulfate. Often marketed as natural but can be irritating.,"sensitive, eczema"
Sodium Myreth Sulfate,SMS,Sulfate,Caution,Surfactant used in cleansers. Moderately irritating and can cause dryness with frequent use.,"sensitive, dry"
Sodium Xylenesulfonate,,Sulfate,Caution,Used as a solubiliser and viscosity agent. Can be irritating at higher concentrations.,sensitive
TEA Lauryl Sulfate,Triethanolamine Lauryl Sulfate,Sulfate,Avoid,Strong surfactant with irritation potential. TEA compounds can form nitrosamines which are a safety concern.,all
Sodium Olefin Sulfonate,"Alpha Olefin Sulfonate, AOS",Sulfate,Caution,Strong cleansing agent that can strip moisture and cause irritation in sensitive individuals.,"sensitive, dry"
Disodium Laureth Sulfosuccinate,,Sulfate,Safe,One of the gentlest sulfate-based surfactants. Much milder than SLS or SLES. Generally well tolerated.,none
Sodium Lauryl Sulfoacetate,SLSA,Sulfate,Safe,Derived from coconut and palm oils. Gentler than SLS and less likely to cause irritation.,none
Sodium Cocoyl Isethionate,"SCI, Baby Foam",Sulfate,Safe,Very mild sulfate-free surfactant derived from coconut oil. Gentle enough for sensitive and baby skin.,none
Methylparaben,"Methyl 4-hydroxybenzoate, Nipagin M",Paraben,Caution,"Most commonly used paraben preservative. Concerns exist around weak estrogenic activity and potential endocrine disruption, though evidence is debated.","sensitive, hormonal-acne"
Propylparaben,"Propyl 4-hydroxybenzoate, Nipasol",Paraben,Caution,Stronger estrogenic activity than methylparaben. More concerning from an endocrine disruption standpoint.,"sensitive, hormonal-acne"
Butylparaben,Butyl 4-hydroxybenzoate,Paraben,Avoid,Has the strongest estrogenic activity among common parabens. EU has restricted its use in cosmetics for children under 3.,all
Ethylparaben,Ethyl 4-hydroxybenzoate,Paraben,Caution,Moderate estrogenic activity. Less studied than methyl and propylparaben but shares similar concerns.,"sensitive, hormonal-acne"
Isobutylparaben,Isobutyl 4-hydroxybenzoate,Paraben,Avoid,Strong estrogenic activity similar to butylparaben. Restricted in EU for leave-on products.,all
Isopropylparaben,Isopropyl 4-hydroxybenzoate,Paraben,Avoid,Restricted in EU cosmetics. Significant endocrine disruption concerns.,all
Benzylparaben,Benzyl 4-hydroxybenzoate,Paraben,Avoid,Least commonly used paraben but carries significant sensitisation risk alongside endocrine concerns.,all
Sodium Methylparaben,,Paraben,Caution,Sodium salt form of methylparaben. Same concerns as methylparaben apply.,"sensitive, hormonal-acne"
Sodium Propylparaben,,Paraben,Caution,Sodium salt form of propylparaben. Same estrogenic activity concerns as propylparaben.,"sensitive, hormonal-acne"
Sodium Butylparaben,,Paraben,Avoid,Sodium salt form of butylparaben. Carries the same endocrine disruption concerns.,all
Isopropyl Myristate,IPM,Comedogenic,Avoid,One of the most highly comedogenic ingredients in cosmetics. Clogs pores rapidly and is a well-documented cause of acne cosmetica.,"oily, acne-prone, combination"
Isopropyl Palmitate,IPP,Comedogenic,Avoid,Highly comedogenic ester similar to isopropyl myristate. Frequently causes breakouts in acne-prone individuals.,"oily, acne-prone"
Isopropyl Isostearate,,Comedogenic,Avoid,Highly comedogenic emollient. Known to cause clogged pores and milia.,"oily, acne-prone"
Coconut Oil,Cocos Nucifera Oil,Comedogenic,Caution,"Rates 4 out of 5 on the comedogenicity scale. Despite its popularity, it clogs pores significantly for acne-prone skin.","oily, acne-prone"
Cocoa Butter,"Theobroma Cacao Seed Butter, Theobroma Cacao Butter, Theobroma Cocoa Butter, Cupuacu Butter, Cocoa Seed Butter",Comedogenic,Caution,Highly comedogenic emollient. Highly occlusive and rates 4 on the comedogenicity scale. Great for dry body skin but problematic on the face.,"oily, acne-prone, combination"
Wheat Germ Oil,Triticum Vulgare Germ Oil,Comedogenic,Avoid,"One of the most comedogenic oils available, rating 5 out of 5. Avoid entirely if acne-prone.","oily, acne-prone, combination"
Lanolin,"Wool Wax, Wool Grease, Adeps Lanae",Comedogenic,Caution,Derived from sheep wool. Rates 4 on comedogenicity. Also a known allergen for some individuals.,"oily, acne-prone, sensitive"
Linseed Oil,"Flaxseed Oil, Linum Usitatissimum Seed Oil",Comedogenic,Caution,Rates 4 on comedogenicity scale. Oxidises quickly which can also cause irritation.,"oily, acne-prone"
Palm Oil,Elaeis Guineensis Oil,Comedogenic,Caution,Moderately comedogenic. Also raises environmental concerns around deforestation.,"oily, acne-prone"
Soybean Oil,Glycine Soja Oil,Comedogenic,Caution,Rates 3-4 on comedogenicity. Can clog pores with regular facial use.,"oily, acne-prone"
Peach Kernel Oil,Prunus Persica Kernel Oil,Comedogenic,Caution,Rates 4 on comedogenicity. Light texture but still pore-clogging for acne-prone skin.,"oily, acne-prone"
Apricot Kernel Oil,Prunus Armeniaca Kernel Oil,Comedogenic,Caution,"Rates 2-3 on comedogenicity. Borderline — some acne-prone individuals tolerate it, others do not.","oily, acne-prone"
Avocado Oil,Persea Gratissima Oil,Comedogenic,Caution,Rates 3 on comedogenicity. Rich and heavy — better suited for dry skin and body use.,"oily, acne-prone"
Olive Oil,Olea Europaea Fruit Oil,Comedogenic,Caution,"Rates 2-3 on comedogenicity. Despite being natural, it can disrupt the skin barrier and clog pores.","oily, acne-prone"
Corn Oil,Zea Mays Oil,Comedogenic,Caution,Rates 3 on comedogenicity. Frequently used in formulations but problematic for breakout-prone skin.,"oily, acne-prone"
Cottonseed Oil,Gossypium Herbaceum Seed Oil,Comedogenic,Caution,Rates 3-4 on comedogenicity. Common in food-grade cosmetics but clogs pores.,"oily, acne-prone"
Acetylated Lanolin,Acetylated Wool Wax,Comedogenic,Avoid,Modified lanolin that rates even higher on the comedogenicity scale than regular lanolin.,"oily, acne-prone, sensitive"
Acetylated Lanolin Alcohol,,Comedogenic,Avoid,Rates 5 out of 5 on comedogenicity. One of the worst offenders for pore clogging.,"oily, acne-prone"
Lauric Acid,,Comedogenic,Caution,The main fatty acid in coconut oil responsible for its comedogenicity. Rates 4 out of 5.,"oily, acne-prone"
Myristic Acid,,Comedogenic,Caution,Saturated fatty acid that rates 3 on the comedogenicity scale.,"oily, acne-prone"
Stearic Acid,"Octadecanoic Acid, C18, Hexyldecyl Stearate",Comedogenic,Caution,Rates 2-3 on comedogenicity. Used widely as an emollient and emulsifier. Borderline for acne-prone skin.,"oily, acne-prone"
Sodium Stearate,,Comedogenic,Caution,Soap form of stearic acid. Can be drying and comedogenic.,"oily, acne-prone, dry"
Isostearic Acid,,Comedogenic,Caution,Rates 3 on comedogenicity. Commonly used in lip products and foundation.,"oily, acne-prone"
Myristyl Myristate,,Comedogenic,Avoid,Rates 5 out of 5. Extremely comedogenic emollient used in creams and lipsticks.,"oily, acne-prone, combination"
Cetyl Acetate,,Comedogenic,Caution,Rates 4 on comedogenicity. Used as an emollient in many lotions.,"oily, acne-prone"
Decyl Oleate,,Comedogenic,Avoid,Rates 3-4 on comedogenicity. Lightweight feel but still pore-clogging.,"oily, acne-prone"
Octyl Stearate,,Comedogenic,Avoid,Rates 5 out of 5. Highly comedogenic emollient. Major acne trigger.,"oily, acne-prone, combination"
Octyl Palmitate,Ethylhexyl Palmitate,Comedogenic,Avoid,Rates 4 on comedogenicity. Common in foundations and sunscreens. Problematic for acne-prone skin.,"oily, acne-prone"
Glyceryl Stearate,,Comedogenic,Caution,Rates 2-3 on comedogenicity. Mild emulsifier — borderline for sensitive acne-prone skin.,"oily, acne-prone"
Glyceryl Oleate,,Comedogenic,Caution,Rates 3 on comedogenicity. Used in moisturisers and hair products.,"oily, acne-prone"
Butyl Stearate,,Comedogenic,Avoid,Rates 3-4 on comedogenicity. Often found in hair pomades and heavy creams.,"oily, acne-prone"
Jojoba Oil,Simmondsia Chinensis Seed Oil,Comedogenic,Safe,"Technically a liquid wax, not an oil. Rates 0-2 on comedogenicity. Generally non-comedogenic and well tolerated.",none
Rosehip Oil,"Rosa Canina Fruit Oil, Rosa Rubiginosa Oil",Comedogenic,Safe,Rates 1 on comedogenicity. Rich in linoleic acid which can actually help acne-prone skin. Generally safe.,none
Hemp Seed Oil,Cannabis Sativa Seed Oil,Comedogenic,Safe,Rates 0 on comedogenicity. High in linoleic acid. Non-pore-clogging and beneficial for acne-prone skin.,none
Argan Oil,Argania Spinosa Kernel Oil,Comedogenic,Safe,Rates 0-1 on comedogenicity. Lightweight and non-greasy. Generally safe for most skin types.,none
Marula Oil,Sclerocarya Birrea Seed Oil,Comedogenic,Safe,"Rates 3-4 on comedogenicity. Despite being trendy, can be problematic for oily and acne-prone skin.","oily, acne-prone"
Shea Butter,Butyrospermum Parkii Butter,Comedogenic,Caution,Rates 0-2 on comedogenicity. Generally safe but can cause issues in some acne-prone individuals. Better for body than face.,"oily, acne-prone"
Castor Oil,Ricinus Communis Seed Oil,Comedogenic,Caution,Rates 1 on comedogenicity but is extremely thick and occlusive. Can cause congestion with heavy use.,"oily, acne-prone"
Sunflower Oil,Helianthus Annuus Seed Oil,Comedogenic,Safe,Rates 0-2 on comedogenicity. High in linoleic acid. Generally beneficial for acne-prone and sensitive skin.,none
Grapeseed Oil,Vitis Vinifera Seed Oil,Comedogenic,Safe,Rates 1 on comedogenicity. Lightweight and non-greasy. Safe for most skin types.,none
Sea Buckthorn Oil,Hippophae Rhamnoides Oil,Comedogenic,Caution,Rates 2 on comedogenicity. Extremely high in carotenoids — can temporarily tint skin orange with prolonged use.,"oily, acne-prone"
Pumpkin Seed Oil,Cucurbita Pepo Seed Oil,Comedogenic,Safe,Rates 2 on comedogenicity. Contains zinc which can help with acne. Generally well tolerated.,none
Tamanu Oil,Calophyllum Inophyllum Seed Oil,Comedogenic,Caution,Rates 2-3 on comedogenicity. Has antibacterial properties but can clog pores in acne-prone individuals.,"oily, acne-prone"
Mineral Oil,"Paraffinum Liquidum, White Mineral Oil, Petrolatum Liquid, Liquid Paraffin, White Petrolatum, Liquid Petrolatum, Huile Minerale, Paraffine, Nujol, Adepsine Oil",Comedogenic,Caution,"Rates 0-2 on comedogenicity. Contrary to popular belief, cosmetic grade mineral oil is not strongly comedogenic but forms a heavy occlusive layer.","oily, acne-prone"
Petrolatum,"Petroleum Jelly, White Petrolatum, Vaseline",Comedogenic,Caution,Rates 0-1 on comedogenicity. Excellent occlusive moisturiser but very heavy. Better for dry skin and body use.,"oily, acne-prone"
Sodium Lauryl Lactylate,,Comedogenic,Caution,Rates 3 on comedogenicity. Used as an emulsifier in creams.,"oily, acne-prone"
Algae Extract,"Seaweed Extract, Algae",Comedogenic,Caution,"Rates 4-5 on comedogenicity depending on species. Despite being marketed as beneficial, many algae extracts heavily clog pores.","oily, acne-prone"
Carrageenan,Irish Moss Extract,Comedogenic,Caution,Derived from red algae. Rates 4 on comedogenicity. Also linked to gut inflammation when ingested.,"oily, acne-prone"
D&C Red Dyes,"D&C Red No. 17, D&C Red No. 21, D&C Red No. 3",Comedogenic,Caution,Synthetic dyes rated 3-5 on comedogenicity. Commonly found in lip products and blush.,"oily, acne-prone"
Sodium Chloride,"Salt, Table Salt, NaCl",Comedogenic,Caution,High concentrations can be comedogenic. Used as a thickener in shampoos and cleansers. Can cause scalp acne.,"oily, acne-prone"
Potassium Chloride,,Comedogenic,Caution,Similar to sodium chloride. Comedogenic at higher concentrations.,"oily, acne-prone"
Beeswax,"Cera Alba, Cera Flava",Comedogenic,Caution,Rates 2 on comedogenicity. Occlusive ingredient used in lip balms and heavy creams. Can trap debris in pores.,"oily, acne-prone"
Carnauba Wax,Copernicia Cerifera Wax,Comedogenic,Caution,Rates 1-2 on comedogenicity. Used in lip products and mascara. Generally tolerated but can cause issues for sensitive acne-prone skin.,"oily, acne-prone"
Candelilla Wax,Euphorbia Cerifera Wax,Comedogenic,Safe,Rates 1 on comedogenicity. Vegan alternative to beeswax. Generally safe for most skin types.,none
Fragrance,"Parfum, Fragrance, Aroma",Irritant,Avoid,The single biggest cause of cosmetic allergies and contact dermatitis. A fragrance listing can hide hundreds of undisclosed chemicals. Always a red flag for sensitive skin.,"sensitive, eczema, rosacea, all"
Alcohol Denat,"Denatured Alcohol, SD Alcohol, Ethanol, Isopropyl Alcohol",Irritant,Caution,Drying alcohol that disrupts the skin barrier. Evaporates quickly giving a fresh feel but damages the barrier over time. Different from fatty alcohols.,"sensitive, dry, eczema, rosacea"
Witch Hazel,"Hamamelis Virginiana Extract, Hamamelis Water",Irritant,Caution,"Often used as a natural toner. Contains tannins that can be very drying and irritating, especially in alcohol-based formulations.","sensitive, dry, rosacea"
Menthol,"L-Menthol, Peppermint Derived Menthol",Irritant,Caution,Creates a cooling sensation but is a known irritant. Can trigger flushing and worsen rosacea. Disrupts the skin barrier.,"sensitive, rosacea, eczema"
Peppermint Oil,Mentha Piperita Oil,Irritant,Avoid,Contains high levels of menthol and menthone. Strong irritant and sensitiser. No benefit to skin despite popular use.,"sensitive, rosacea, eczema, all"
Eucalyptus Oil,"Eucalyptus Globulus Leaf Oil, Eucalyptus Essential Oil",Irritant,Avoid,Strong irritant with potential for sensitisation. Can trigger allergic reactions with repeated exposure.,"sensitive, eczema, rosacea"
Lemon Oil,Citrus Limon Peel Oil,Irritant,Avoid,Phototoxic — reacts with UV light to cause dark spots and burns. Strong irritant and sensitiser.,all
Lime Oil,Citrus Aurantifolia Peel Oil,Irritant,Avoid,Highly phototoxic citrus oil. Can cause severe hyperpigmentation when skin is exposed to sunlight after use.,all
Bergamot Oil,Citrus Bergamia Peel Oil,Irritant,Avoid,"Contains bergapten, a known phototoxin. Can cause severe pigmentation and burns in sun-exposed skin.",all
Cinnamon,"Cinnamomum Zeylanicum Bark Extract, Cinnamon Bark Oil",Irritant,Avoid,One of the most common cosmetic sensitisers. Causes contact dermatitis and can permanently sensitise skin.,all
Clove Oil,"Eugenia Caryophyllus Bud Oil, Eugenol",Irritant,Avoid,Eugenol from clove is a major allergen. Causes significant irritation and sensitisation.,all
Tea Tree Oil,Melaleuca Alternifolia Leaf Oil,Irritant,Caution,Antibacterial properties but a known sensitiser with repeated use. Oxidises quickly and becomes more irritating over time.,"sensitive, eczema"
Lavender Oil,Lavandula Angustifolia Oil,Irritant,Caution,"Despite its calming reputation, lavender oil is a common sensitiser. Contains linalool and linalyl acetate which are allergens.","sensitive, eczema, rosacea"
Rosemary Oil,Rosmarinus Officinalis Leaf Oil,Irritant,Caution,Can be irritating especially for sensitive skin. Contains camphor which is a known irritant.,"sensitive, eczema, rosacea"
Geranium Oil,Pelargonium Graveolens Flower Oil,Irritant,Caution,Known skin sensitiser. Contains citronellol and geraniol which are common fragrance allergens.,"sensitive, eczema, rosacea"
Ylang Ylang Oil,Cananga Odorata Flower Oil,Irritant,Avoid,One of the most allergenic essential oils in cosmetics. Strong sensitiser with little to no skin benefit.,all
Jasmine Oil,Jasminum Officinale Flower Extract,Irritant,Caution,Common fragrance allergen. Can cause contact dermatitis in sensitive individuals.,"sensitive, eczema, rosacea"
Oakmoss,Evernia Prunastri Extract,Irritant,Avoid,Restricted by EU cosmetic regulations due to high allergenicity. Strong sensitiser.,all
Treemoss,Evernia Furfuracea Extract,Irritant,Avoid,EU restricted fragrance ingredient. Known sensitiser and allergen.,all
Linalool,,Irritant,Caution,Fragrance component found in lavender and many other botanicals. One of the 26 EU-regulated fragrance allergens.,"sensitive, eczema"
Limonene,,Irritant,Caution,Citrus-derived fragrance component. Oxidises rapidly to form sensitising compounds. One of the 26 EU-regulated fragrance allergens.,"sensitive, eczema"
Citronellol,,Irritant,Caution,Fragrance allergen found in rose and geranium oils. EU-regulated allergen that must be listed on labels.,"sensitive, eczema"
Geraniol,,Irritant,Caution,Fragrance allergen found in geranium and rose oils. EU-regulated. Can cause allergic contact dermatitis.,"sensitive, eczema"
Eugenol,,Irritant,Avoid,Found in clove and cinnamon. Strong sensitiser and one of the most common contact allergens in cosmetics.,all
Cinnamal,Cinnamaldehyde,Irritant,Avoid,Major allergen in cinnamon. Causes contact dermatitis even in small amounts. EU-regulated fragrance allergen.,all
Isoeugenol,2-Methoxy-4-(1-propenyl)phenol,Irritant,Avoid,Fragrance allergen related to eugenol. Strong sensitiser — EU-regulated and restricted in many products.,all
Benzyl Alcohol,,Irritant,Caution,Used as a preservative and fragrance ingredient. Can cause contact sensitivity. Also a mild irritant in higher concentrations.,"sensitive, eczema"
Benzyl Benzoate,,Irritant,Caution,Fragrance ingredient and insecticide. EU-regulated fragrance allergen. Can cause sensitisation.,"sensitive, eczema"
Benzyl Cinnamate,,Irritant,Caution,Fragrance allergen found in balsam of Peru. EU-regulated. Common cause of cosmetic allergies.,"sensitive, eczema"
Formaldehyde,"Formalin, Methanal",Irritant,Avoid,Known carcinogen and strong allergen. Banned or restricted in cosmetics in many countries. Can cause severe contact dermatitis.,all
DMDM Hydantoin,,Irritant,Avoid,Formaldehyde-releasing preservative. Releases formaldehyde slowly into the formula over time. Linked to hair loss in shampoos.,all
Imidazolidinyl Urea,,Irritant,Caution,Formaldehyde-releasing preservative. One of the most common causes of cosmetic contact dermatitis.,"sensitive, eczema, all"
Diazolidinyl Urea,,Irritant,Caution,Formaldehyde-releasing preservative. Releases more formaldehyde than imidazolidinyl urea. Significant sensitisation risk.,"sensitive, eczema, all"
Quaternium-15,,Irritant,Avoid,Formaldehyde-releasing preservative. One of the strongest formaldehyde releasers used in cosmetics.,all
Bronopol,"2-Bromo-2-Nitropropane-1,3-Diol",Irritant,Avoid,Preservative that releases formaldehyde. Also a potential nitrosamine former. Linked to contact dermatitis.,all
Methylisothiazolinone,"MIT, MI",Irritant,Avoid,Powerful preservative associated with a widespread outbreak of contact allergy in Europe. EU has banned it from leave-on products.,all
Methylchloroisothiazolinone,"MCI, CMIT",Irritant,Avoid,Even more potent sensitiser than MIT. Restricted in EU rinse-off products and banned from leave-on products.,all
Benzalkonium Chloride,"BAC, Alkyldimethylbenzylammonium Chloride",Irritant,Caution,Preservative and surfactant that disrupts the skin barrier. Common in eye drops but can damage the ocular surface with prolonged use.,"sensitive, eczema, rosacea"
Propylene Glycol,,Irritant,Caution,Humectant and solvent. Can cause contact dermatitis in high concentrations. Generally safe at low concentrations used in cosmetics.,"sensitive, eczema"
Sodium Hydroxide,"Lye, Caustic Soda",Irritant,Caution,"Used to adjust pH. At high concentrations it is severely caustic. Safe in finished products where it is neutralised, but worth noting.",sensitive
Potassium Hydroxide,"KOH, Caustic Potash",Irritant,Caution,Used to adjust pH similar to sodium hydroxide. Safe in neutralised finished products.,sensitive
